Sample.IDs,scientific_name,study_title,High.level.variety,High.level.tissue,High.level.age,High.level.stress.disease,Variety,Tissue,Age,Stress.disease,Comments,DOI,Intermediate,Intermediate_Stress_merged_control,Intermediate_Stress
Sample_33,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,roots,Seedling stage,none,NA,NA,roots,NA,NA
Sample_18A,Triticum aestivum,Development,BCS cv-1,roots,seedling,none,BCS cv-1,roots,Seedling stage,none,NA,NA,roots,NA,NA
Sample_19A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,shoot apical meristem,Seedling stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_20A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,shoot apical meristem,Seedling stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_21A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,seedling,none,BCS cv-1,shoot apical meristem,Seedling stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_22B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf blade,three leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_23A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf blade,three leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_24A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf blade,three leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_25A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf sheath,three leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_26A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf sheath,three leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_27A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,third leaf sheath,three leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_28A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_29A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_30A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_15,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,three leaf stage,none,NA,NA,root apical meristem,NA,NA
Sample_32R2,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,three leaf stage,none,NA,NA,root apical meristem,NA,NA
Sample_33A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,three leaf stage,none,NA,NA,root apical meristem,NA,NA
Sample_16,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,axillary roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_35R1,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,axillary roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_36A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,axillary roots,three leaf stage,none,NA,NA,roots,NA,NA
Sample_37A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf sheath,fifth leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_38A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf sheath,fifth leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_39A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf sheath,fifth leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_40A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf blade,fifth leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_41A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf blade,fifth leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_42A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,fifth leaf blade,fifth leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_43A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf sheath,Tillering stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_44A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf sheath,Tillering stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_45A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf sheath,Tillering stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_46A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf blade,Tillering stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_d11,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf blade,Tillering stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_d12,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,first leaf blade,Tillering stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_49A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot axis,Tillering stage,none,NA,NA,shoot axis,NA,NA
Sample_50A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot axis,Tillering stage,none,NA,NA,shoot axis,NA,NA
Sample_51A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot axis,Tillering stage,none,NA,NA,shoot axis,NA,NA
Sample_52A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot apical meristem,Tillering stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_53A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot apical meristem,Tillering stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_54A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,vegetative,none,BCS cv-1,shoot apical meristem,Tillering stage,none,NA,NA,shoot apical meristem,NA,NA
Sample_55B,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,Tillering stage,none,NA,NA,roots,NA,NA
Sample_56A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,Tillering stage,none,NA,NA,roots,NA,NA
Sample_57A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,roots,Tillering stage,none,NA,NA,roots,NA,NA
Sample_58A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,Tillering stage,none,NA,NA,root apical meristem,NA,NA
Sample_59A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,Tillering stage,none,NA,NA,root apical meristem,NA,NA
Sample_60A,Triticum aestivum,Development,BCS cv-1,roots,vegetative,none,BCS cv-1,root apical meristem,Tillering stage,none,NA,NA,root apical meristem,NA,NA
Sample_61A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_62A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_63A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_64A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf sheath,Flag leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_65A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf sheath,Flag leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_66A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf sheath,Flag leaf stage,none,NA,NA,leaf sheaths excl flag,NA,NA
Sample_67A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_68A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_69A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_70A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Flag leaf stage,none,NA,NA,shoot axis,NA,NA
Sample_71A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Flag leaf stage,none,NA,NA,shoot axis,NA,NA
Sample_72A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Flag leaf stage,none,NA,NA,shoot axis,NA,NA
Sample_73A,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,Flag leaf stage,none,NA,NA,roots,NA,NA
Sample_74A,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,Flag leaf stage,none,NA,NA,roots,NA,NA
Sample_76A,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,Flag leaf stage,none,NA,NA,roots,NA,NA
Sample_75A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_77A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_78A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_79A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_80A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_81A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_82A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (+0.25h) 07:15,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_83B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (+0.25h) 07:15,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_84A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (+0.25h) 07:15,Flag leaf stage,none,NA,NA,flag leaf blade,NA,NA
Sample_85B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (+0.25h) 22:15,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_86A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (+0.25h) 22:15,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_87A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (+0.25h) 22:15,Flag leaf stage,none,NA,NA,leaf blades excl flag,NA,NA
Sample_88A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,leaf ligule,Full boot,none,NA,NA,leaf ligule,NA,NA
Sample_89B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,leaf ligule,Full boot,none,NA,NA,leaf ligule,NA,NA
Sample_90A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,leaf ligule,Full boot,none,NA,NA,leaf ligule,NA,NA
Sample_91A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Full boot,none,NA,NA,flag leaf sheath,NA,NA
Sample_92A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Full boot,none,NA,NA,flag leaf sheath,NA,NA
Sample_93A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Full boot,none,NA,NA,flag leaf sheath,NA,NA
Sample_94B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Full boot,none,NA,NA,flag leaf blade,NA,NA
Sample_95A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Full boot,none,NA,NA,flag leaf blade,NA,NA
Sample_96A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Full boot,none,NA,NA,flag leaf blade,NA,NA
Sample_97A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Full boot,none,NA,NA,shoot axis,NA,NA
Sample_98A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Full boot,none,NA,NA,shoot axis,NA,NA
Sample_99A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,shoot axis,Full boot,none,NA,NA,shoot axis,NA,NA
Sample_100A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,Full boot,none,NA,NA,spike,NA,NA
Sample_101A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,Full boot,none,NA,NA,spike,NA,NA
Sample_102A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,Full boot,none,NA,NA,spike,NA,NA
Sample_103A,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,30% spike,none,NA,NA,roots,NA,NA
Sample_104B,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,30% spike,none,NA,NA,roots,NA,NA
Sample_105B,Triticum aestivum,Development,BCS cv-1,roots,reproductive,none,BCS cv-1,roots,30% spike,none,NA,NA,roots,NA,NA
Sample_106A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,30% spike,none,NA,NA,flag leaf sheath,NA,NA
Sample_107B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,30% spike,none,NA,NA,flag leaf sheath,NA,NA
Sample_108A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,30% spike,none,NA,NA,flag leaf sheath,NA,NA
Sample_109A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,30% spike,none,NA,NA,flag leaf blade,NA,NA
Sample_110A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,30% spike,none,NA,NA,flag leaf blade,NA,NA
Sample_111B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,30% spike,none,NA,NA,flag leaf blade,NA,NA
Sample_112B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,30% spike,none,NA,NA,internode,NA,NA
Sample_113B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,30% spike,none,NA,NA,internode,NA,NA
Sample_114B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,30% spike,none,NA,NA,internode,NA,NA
Sample_115A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,30% spike,none,NA,NA,peduncle,NA,NA
Sample_116A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,30% spike,none,NA,NA,peduncle,NA,NA
Sample_117A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,30% spike,none,NA,NA,peduncle,NA,NA
Sample_118A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,30% spike,none,NA,NA,spike,NA,NA
Sample_119B,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,30% spike,none,NA,NA,spike,NA,NA
Sample_120A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spike,30% spike,none,NA,NA,spike,NA,NA
Sample_121A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spikelets,30% spike,none,NA,NA,spikelets,NA,NA
Sample_122A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spikelets,30% spike,none,NA,NA,spikelets,NA,NA
Sample_123A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,spikelets,30% spike,none,NA,NA,spikelets,NA,NA
Sample_124A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Ear emergence,none,NA,NA,flag leaf sheath,NA,NA
Sample_125A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Ear emergence,none,NA,NA,flag leaf sheath,NA,NA
Sample_126A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,Ear emergence,none,NA,NA,flag leaf sheath,NA,NA
Sample_127A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Ear emergence,none,NA,NA,flag leaf blade,NA,NA
Sample_128A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Ear emergence,none,NA,NA,flag leaf blade,NA,NA
Sample_129A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,Ear emergence,none,NA,NA,flag leaf blade,NA,NA
Sample_130A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Ear emergence,none,NA,NA,leaf blades excl flag,NA,NA
Sample_131A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Ear emergence,none,NA,NA,leaf blades excl flag,NA,NA
Sample_132A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade,Ear emergence,none,NA,NA,leaf blades excl flag,NA,NA
Sample_133A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,Ear emergence,none,NA,NA,peduncle,NA,NA
Sample_134A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,Ear emergence,none,NA,NA,peduncle,NA,NA
Sample_135A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,peduncle,Ear emergence,none,NA,NA,peduncle,NA,NA
Sample_136A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,Ear emergence,none,NA,NA,internode,NA,NA
Sample_137B,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,Ear emergence,none,NA,NA,internode,NA,NA
Sample_138A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,Internode #2,Ear emergence,none,NA,NA,internode,NA,NA
Sample_139A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,Ear emergence,none,NA,NA,awns,NA,NA
Sample_140A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,Ear emergence,none,NA,NA,awns,NA,NA
Sample_141A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,awns,Ear emergence,none,NA,NA,awns,NA,NA
Sample_142A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_143A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_144B,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,glumes,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_157A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_158A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_159B,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,lemma,Ear emergence,none,NA,NA,glumes,NA,NA
Sample_160A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,anther,anthesis,none,NA,NA,anther,NA,NA
Sample_161A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,anther,anthesis,none,NA,NA,anther,NA,NA
Sample_162A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,anther,anthesis,none,NA,NA,anther,NA,NA
Sample_163A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,stigma & ovary,anthesis,none,NA,NA,stigma & ovary,NA,NA
Sample_164A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,stigma & ovary,anthesis,none,NA,NA,stigma & ovary,NA,NA
Sample_165A,Triticum aestivum,Development,BCS cv-1,spike,reproductive,none,BCS cv-1,stigma & ovary,anthesis,none,NA,NA,stigma & ovary,NA,NA
Sample_166A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,anthesis,none,NA,NA,flag leaf blade,NA,NA
Sample_167A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,anthesis,none,NA,NA,flag leaf blade,NA,NA
Sample_168A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade night (-0.25h) 06:45,anthesis,none,NA,NA,flag leaf blade,NA,NA
Sample_169A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,anthesis,none,NA,NA,leaf blades excl flag,NA,NA
Sample_170A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,anthesis,none,NA,NA,leaf blades excl flag,NA,NA
Sample_171A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,fifth leaf blade night (-0.25h) 21:45,anthesis,none,NA,NA,leaf blades excl flag,NA,NA
Sample_172A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,milk grain stage,none,NA,NA,flag leaf sheath,NA,NA
Sample_173A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,milk grain stage,none,NA,NA,flag leaf sheath,NA,NA
Sample_174A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf sheath,milk grain stage,none,NA,NA,flag leaf sheath,NA,NA
Sample_175A,Triticum aestivum,Development,BCS cv-1,leaves/shoots,reproductive,none,BCS cv-1,flag leaf blade,milk grain stage,none,NA,NA,flag leaf blade,NA,NA
