group_id,family_name,origin,chrs,cardinality_formal,cardinality_abs,A,B,D,synteny,TE,HC.LC,source
851,OG0020659,ABD,2,1:1:1,1:1:1,TraesCS2A01G460600,TraesCS2B01G482300,TraesCS2D01G460800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
868,OG0020633,ABD,2,1:1:1,1:1:1,TraesCS2A01G143900,TraesCS2B01G168800,TraesCS2D01G147800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
889,OG0020482,ABD,6,1:1:1,1:1:1,TraesCS6A01G061400,TraesCS6B01G081700,TraesCS6D01G063200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
913,OG0020393,ABD,6,1:1:1,1:1:1,TraesCS6A01G157800,TraesCS6B01G185600,TraesCS6D01G147200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
915,OG0020385,ABD,2,1:1:1,1:1:1,TraesCS2A01G288600,TraesCS2B01G305400,TraesCS2D01G286800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
929,OG0020398,ABD,7,1:1:1,1:1:1,TraesCS7A01G313400,TraesCS7B01G213900,TraesCS7D01G309900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
932,OG0020389,ABD,2,1:1:1,1:1:1,TraesCS2A01G314700,TraesCS2B01G332700,TraesCS2D01G312900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
942,OG0020357,ABD,5,1:1:1,1:1:1,TraesCS5A01G187500,TraesCS5B01G196300,TraesCS5D01G203500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
948,OG0020346,ABD,1,1:1:1,1:1:1,TraesCS1A01G408100,TraesCS1B01G437000,TraesCS1D01G415100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
961,OG0020553,ABD,6,1:1:1,1:1:1,TraesCS6A01G109300,TraesCS6B01G137800,TraesCS6D01G097700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
963,OG0020352,ABD,5,1:1:1,1:1:1,TraesCS5A01G292400,TraesCS5B01G291800,TraesCS5D01G299700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
975,OG0020338,ABD,3,1:1:1,1:1:1,TraesCS3A01G261100,TraesCS3B01G294000,TraesCS3D01G261200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
981,OG0020498,ABD,7,1:1:1,1:1:1,TraesCS7A01G563800,TraesCS7B01G499100,TraesCS7D01G547200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
992,OG0020459,ABD,5,1:1:1,1:1:1,TraesCS5A01G104400,TraesCS5B01G108700,TraesCS5D01G116500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
999,OG0020413,ABD,2,1:1:1,1:1:1,TraesCS2A01G300900,TraesCS2B01G317100,TraesCS2D01G299600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1000,OG0020405,ABD,7,1:1:1,1:1:1,TraesCS7A01G255900,TraesCS7B01G152400,TraesCS7D01G254300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1004,OG0020380,ABD,5,1:1:1,1:1:1,TraesCS5A01G421500,TraesCS5B01G423100,TraesCS5D01G429800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1011,OG0020341,ABD,3,1:1:1,1:1:1,TraesCS3A01G287100,TraesCS3B01G321200,TraesCS3D01G286700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1021,OG0020312,ABD,4,1:1:1,1:1:1,TraesCS4A01G269000,TraesCS4B01G045200,TraesCS4D01G045100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1028,OG0020307,ABD,1,1:1:1,1:1:1,TraesCS1A01G036000,TraesCS1B01G046400,TraesCS1D01G037600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1038,OG0020277,ABD,2,1:1:1,1:1:1,TraesCS2A01G434500,TraesCS2B01G455600,TraesCS2D01G432300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
1044,OG0020262,ABD,1,1:1:1,1:1:1,TraesCS1A01G247500,TraesCS1B01G258100,TraesCS1D01G246700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1103,OG0019963,ABD,3,1:1:1,1:1:1,TraesCS3A01G267600,TraesCS3B01G301000,TraesCS3D01G267800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
1198,OG0019813,ABD,6,1:1:1,1:1:1,TraesCS6A01G259300,TraesCS6B01G286600,TraesCS6D01G240400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1220,OG0019731,ABD,4,1:1:1,1:1:1,TraesCS4A01G225300,TraesCS4B01G090900,TraesCS4D01G088000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1237,OG0019663,ABD,5,1:1:1,1:1:1,TraesCS5A01G091500,TraesCS5B01G098000,TraesCS5D01G103600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1333,OG0019218,ABD,7,1:1:1,1:1:1,TraesCS7A01G475100,TraesCS7B01G376800,TraesCS7D01G462900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1418,OG0019217,ABD,7,1:1:1,1:1:1,TraesCS7A01G422900,TraesCS7B01G323300,TraesCS7D01G415300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1427,OG0019207,ABD,6,1:1:1,1:1:1,TraesCS6A01G408600,TraesCS6B01G454800,TraesCS6D01G392500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1438,OG0019167,ABD,4,1:1:1,1:1:1,TraesCS4A01G200300,TraesCS4B01G115000,TraesCS4D01G112600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1447,OG0019193,ABD,45,1:1:1,1:1:1,TraesCS5A01G492100,TraesCS4B01G319800,TraesCS4D01G316400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1448,OG0019140,ABD,2,1:1:1,1:1:1,TraesCS2A01G263600,TraesCS2B01G278600,TraesCS2D01G260400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
1479,OG0019174,ABD,5,1:1:1,1:1:1,TraesCS5A01G001900,TraesCS5B01G002300,TraesCS5D01G002300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1485,OG0019163,ABD,3,1:1:1,1:1:1,TraesCS3A01G421100,TraesCS3B01G456900,TraesCS3D01G416800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1486,OG0019159,ABD,3,1:1:1,1:1:1,TraesCS3A01G356200,TraesCS3B01G389100,TraesCS3D01G350300,segmental homeologs,NA,HC-only,"OrthoFinder SO,i-ADHoRe"
1487,OG0019168,ABD,45,1:1:1,1:1:1,TraesCS4A01G334300,TraesCS5B01G551000,TraesCS5D01G537800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
1492,OG0019156,ABD,3,1:1:1,1:1:1,TraesCS3A01G175400,TraesCS3B01G205100,TraesCS3D01G180800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1493,OG0019145,ABD,2,1:1:1,1:1:1,TraesCS2A01G388200,TraesCS2B01G406200,TraesCS2D01G386000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1513,OG0019153,ABD,3,1:1:1,1:1:1,TraesCS3A01G045700,TraesCS3B01G038400,TraesCS3D01G035600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
1516,OG0019150,ABD,2,1:1:1,1:1:1,TraesCS2A01G504800,TraesCS2B01G533000,TraesCS2D01G505500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1517,OG0019146,ABD,2,1:1:1,1:1:1,TraesCS2A01G437400,TraesCS2B01G457900,TraesCS2D01G434800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1571,OG0018972,ABD,4,1:1:1,1:1:1,TraesCS4A01G127300,TraesCS4B01G177500,TraesCS4D01G179200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
1593,OG0018907,ABD,6,1:1:1,1:1:1,TraesCS6A01G237200,TraesCS6B01G265700,TraesCS6D01G219800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1637,OG0018939,ABD,3,1:1:1,1:1:1,TraesCS3A01G186900,TraesCS3B01G216300,TraesCS3D01G190700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1680,OG0018865,ABD,7,1:1:1,1:1:1,TraesCS7A01G198400,TraesCS7B01G104100,TraesCS7D01G200100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1689,OG0018851,ABD,7,1:1:1,1:1:1,TraesCS7A01G134900,TraesCS7B01G036300,TraesCS7D01G134500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1698,OG0018848,ABD,2,1:1:1,1:1:1,TraesCS2A01G196800,TraesCS2B01G224400,TraesCS2D01G204800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1700,OG0018842,ABD,3,1:1:1,1:1:1,TraesCS3A01G082100,TraesCS3B01G097200,TraesCS3D01G082300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1704,OG0018833,ABD,6,1:1:1,1:1:1,TraesCS6A01G287500,TraesCS6B01G316800,TraesCS6D01G268200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
1711,OG0018829,ABD,7,1:1:1,1:1:1,TraesCS7A01G180600,TraesCS7B01G085600,TraesCS7D01G182400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1714,OG0018901,ABD,3,1:1:1,1:1:1,TraesCS3A01G078300,TraesCS3B01G093200,TraesCS3D01G078800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1742,OG0018870,ABD,3,1:1:1,1:1:1,TraesCS3A01G353100,TraesCS3B01G385800,TraesCS3D01G347200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1759,OG0018852,ABD,2,1:1:1,1:1:1,TraesCS2A01G499300,TraesCS2B01G527500,TraesCS2D01G499400,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1764,OG0018840,ABD,5,1:1:1,1:1:1,TraesCS5A01G338000,TraesCS5B01G336800,TraesCS5D01G342500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1776,OG0018825,ABD,2,1:1:1,1:1:1,TraesCS2A01G275300,TraesCS2B01G292900,TraesCS2D01G274300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1778,OG0018748,ABD,5,1:1:1,1:1:1,TraesCS5A01G040400,TraesCS5B01G041400,TraesCS5D01G047300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1782,OG0018745,ABD,2,1:1:1,1:1:1,TraesCS2A01G063600,TraesCS2B01G076300,TraesCS2D01G061800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1783,OG0018735,ABD,5,1:1:1,1:1:1,TraesCS5A01G041900,TraesCS5B01G044400,TraesCS5D01G049600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1788,OG0018720,ABD,2,1:1:1,1:1:1,TraesCS2A01G261300,TraesCS2B01G280900,TraesCS2D01G262600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1789,OG0018816,ABD,7,1:1:1,1:1:1,TraesCS7A01G149400,TraesCS7B01G053100,TraesCS7D01G151100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
1793,OG0018812,ABD,5,1:1:1,1:1:1,TraesCS5A01G280600,TraesCS5B01G279600,TraesCS5D01G287200,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1796,OG0018769,ABD,4,1:1:1,1:1:1,TraesCS4A01G058500,TraesCS4B01G246200,TraesCS4D01G245600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1808,OG0018741,ABD,6,1:1:1,1:1:1,TraesCS6A01G024500,TraesCS6B01G033100,TraesCS6D01G027800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe"
1809,OG0018800,ABD,1,1:1:1,1:1:1,TraesCS1A01G393800,TraesCS1B01G423100,TraesCS1D01G402700,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1810,OG0018798,ABD,1,1:1:1,1:1:1,TraesCS1A01G204800,TraesCS1B01G218400,TraesCS1D01G208100,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1811,OG0018805,ABD,45,1:1:1,1:1:1,TraesCS4A01G367600,TraesCS5B01G505000,TraesCS5D01G505800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
1812,OG0018796,ABD,7,1:1:1,1:1:1,TraesCS7A01G532800,TraesCS7B01G449600,TraesCS7D01G519500,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1813,OG0018794,ABD,47,1:1:1,1:1:1,TraesCS7A01G501900,TraesCS4B01G329200,TraesCS4D01G326000,segmental homeologs,NA,HC-only,"OrthoFinder SO,i-ADHoRe"
1814,OG0018801,ABD,2,1:1:1,1:1:1,TraesCS2A01G205200,TraesCS2B01G232600,TraesCS2D01G210900,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1819,OG0018797,ABD,7,1:1:1,1:1:1,TraesCS7A01G532400,TraesCS7B01G449700,TraesCS7D01G519600,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1823,OG0018793,ABD,6,1:1:1,1:1:1,TraesCS6A01G000700,TraesCS6B01G005400,TraesCS6D01G004800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1824,OG0018791,ABD,4,1:1:1,1:1:1,TraesCS4A01G281800,TraesCS4B01G031200,TraesCS4D01G029000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe"
1837,OG0018724,ABD,6,1:1:1,1:1:1,TraesCS6A01G385200,TraesCS6B01G424200,TraesCS6D01G370000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1839,OG0018768,ABD,6,1:1:1,1:1:1,TraesCS6A01G039100,TraesCS6B01G054000,TraesCS6D01G044800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1841,OG0018765,ABD,6,1:1:1,1:1:1,TraesCS6A01G270200,TraesCS6B01G297500,TraesCS6D01G244800,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,i-ADHoRe,MCScanX"
1843,OG0018753,ABD,4,1:1:1,1:1:1,TraesCS4A01G210000,TraesCS4B01G113500,TraesCS4D01G111000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,i-ADHoRe,MCScanX"
1850,OG0018716,ABD,7,1:1:1,1:1:1,TraesCS7A01G499500,TraesCS7B01G406400,TraesCS7D01G486300,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,MCScanX"
1852,OG0018713,ABD,2,1:1:1,1:1:1,TraesCS2A01G455700,TraesCS2B01G477700,TraesCS2D01G456000,segmental homeologs,NA,HC-only,"OrthoFinder SO,BLAST RBH,DAGchainer,MCScanX"
