assembly	chromosome	start	end	block_no	chr_length	merged_block
arina	chr1D	20699500	25140362	895	495453186	1242
arina	chr1D	50110368	244952100	819	495453186	102
arina	chr1D	56425651	309858583	815	495453186	69
arina	chr1D	81151533	339966343	814	495453186	67
arina	chr1D	116776678	133957114	965	495453186	67
arina	chr1D	126471856	146492435	838	495453186	67
arina	chr1D	204987457	224575323	839	495453186	49
arina	chr1D	225059191	309858583	824	495453186	49
arina	chr1D	260313230	263198944	896	495453186	49
arina	chr1D	280221890	284919255	897	495453186	49
arina	chr1D	320187212	335077841	852	495453186	67
arina	chr1D	332952648	338876876	954	495453186	67
arina	chr1D	335266603	344707361	870	495453186	49
arina	chr1D	342855272	347789032	1085	495453186	49
arina	chr1D	342855272	349082847	974	495453186	49
arina	chr1D	383363077	390687195	956	495453186	957
arina	chr1D	388024542	390687195	1081	495453186	243
arina	chr1D	388024542	397082358	1071	495453186	243
arina	chr1D	391275779	393929997	956	495453186	957
arina	chr1D	391275779	393951163	1081	495453186	243
arina	chr1D	445189997	450111428	893	495453186	1165
arina	chr2A	23796346	27277315	1341	780798557	250
arina	chr2A	23796346	27277315	1339	780798557	250
arina	chr2A	23796346	31202547	1314	780798557	250
arina	chr2A	23796346	31202547	1312	780798557	250
arina	chr2A	24530232	30147247	1532	780798557	250
arina	chr2A	53441101	58395163	1338	780798557	374
arina	chr2A	53441101	58395163	1340	780798557	374
arina	chr2A	80124332	99794208	1299	780798557	523
arina	chr2A	90029047	180987356	1259	780798557	167
arina	chr2A	120098452	160933643	1278	780798557	28
arina	chr2A	120098452	160933643	1279	780798557	28
arina	chr2A	123547947	129100670	1403	780798557	28
arina	chr2A	144849728	150918037	1402	780798557	28
arina	chr2A	201797186	233476134	1283	780798557	394
arina	chr2A	235300926	256127862	1300	780798557	507
arina	chr2A	302033631	337862860	1284	780798557	355
arina	chr2A	342542932	610241732	1250	780798557	60
arina	chr2A	529791644	547776715	1274	780798557	60
arina	chr2A	551714126	555830969	1342	780798557	4
arina	chr2A	551714126	555830969	1345	780798557	4
arina	chr2A	551714126	582642714	1274	780798557	60
arina	chr2A	638305170	663330251	1294	780798557	450
arina	chr2A	679276184	684271584	1337	780798557	1143
arina	chr2A	718622056	733398877	1304	780798557	644
arina	chr2A	723649579	728728236	1344	780798557	644
arina	chr2A	725343348	734506502	1396	780798557	867
arina	chr2A	738342018	743266968	1343	780798557	624
arina	chr2A	743385236	753270258	1313	780798557	795
arina	chr2A	748401302	758280642	1311	780798557	796
arina	chr2B	9843	811158	1720	801256715	496
arina	chr2B	9843	811158	1723	801256715	496
arina	chr2B	9843	811158	1725	801256715	496
arina	chr2B	6405829	11090064	1725	801256715	496
arina	chr2B	6405829	11090064	1720	801256715	496
arina	chr2B	6405829	11090064	1723	801256715	496
arina	chr2B	32947454	36242832	1730	801256715	1260
arina	chr2B	41416110	54555887	1672	801256715	215
arina	chr2B	41416110	103196586	1636	801256715	215
arina	chr2B	45615774	50643005	1722	801256715	215
arina	chr2B	50482765	54555887	1726	801256715	205
arina	chr2B	59636629	69168306	1694	801256715	215
arina	chr2B	69352377	83955548	1671	801256715	215
arina	chr2B	74246457	80538576	1933	801256715	215
arina	chr2B	75686201	82853290	1857	801256715	215
arina	chr2B	89303227	98818953	1689	801256715	215
arina	chr2B	89303227	98818953	1686	801256715	215
arina	chr2B	159891275	164940359	1728	801256715	1130
arina	chr2B	170851543	180060077	1690	801256715	863
arina	chr2B	223729502	227868673	1727	801256715	1265
arina	chr2B	469194147	478913571	1693	801256715	828
arina	chr2B	469194147	478913571	1691	801256715	828
arina	chr2B	486985861	493565148	1937	801256715	1004
arina	chr2B	489351427	508961222	1657	801256715	58
arina	chr2B	489351427	514371485	1653	801256715	58
arina	chr2B	496176704	505495073	1945	801256715	58
arina	chr2B	601175355	620215107	1640	801256715	247
arina	chr2B	606038287	615922241	1687	801256715	247
arina	chr2B	625541726	630155388	1721	801256715	64
arina	chr2B	630728509	650486109	1655	801256715	539
arina	chr2B	635703308	655306488	1640	801256715	247
arina	chr2B	635703308	669198108	1648	801256715	382
arina	chr2B	646017699	650486109	1729	801256715	247
arina	chr2B	646017699	650486109	1724	801256715	247
arina	chr2B	681941808	690677201	1688	801256715	886
arina	chr2B	731889302	742110431	1692	801256715	64
arina	chr2B	731889302	752858564	1656	801256715	505
arina	chr2D	35920429	39830942	2070	651852609	1277
arina	chr2D	50988440	55931007	2074	651852609	1156
arina	chr2D	56070268	75694340	2016	651852609	543
arina	chr2D	80657217	90824345	2044	651852609	773
arina	chr2D	116905903	187130389	1969	651852609	196
arina	chr2D	122032632	141482523	2017	651852609	196
arina	chr2D	134638904	142064614	2142	651852609	86
arina	chr2D	137590149	141482523	2079	651852609	86
arina	chr2D	182370263	192186522	2045	651852609	86
arina	chr2D	182370263	327073196	1964	651852609	123
arina	chr2D	218019683	236138377	2018	651852609	123
arina	chr2D	318562767	327758675	2355	651852609	123
arina	chr2D	327612885	352632034	2004	651852609	87
arina	chr2D	327612885	388089104	1972	651852609	216
arina	chr2D	333498463	352632034	2019	651852609	87
arina	chr2D	378362127	413354590	1989	651852609	359
arina	chr2D	383285805	388089104	2077	651852609	216
arina	chr2D	403465511	413354590	2043	651852609	105
arina	chr2D	403465511	427974376	2003	651852609	449
arina	chr2D	423853301	427974376	2078	651852609	105
arina	chr2D	423853301	427974376	2075	651852609	105
arina	chr2D	470434995	476697095	2154	651852609	218
arina	chr2D	478698769	538599394	1973	651852609	221
arina	chr2D	549508061	553388423	2073	651852609	105
arina	chr2D	563783364	577130841	2028	651852609	274
arina	chr2D	577147251	608746598	1988	651852609	184
arina	chr2D	577147251	628939335	1970	651852609	217
arina	chr2D	577147251	628939335	1976	651852609	184
arina	chr2D	600294258	605713768	2076	651852609	184
arina	chr2D	605828452	608746598	2014	651852609	184
arina	chr2D	608771752	613819816	2069	651852609	184
arina	chr2D	621963959	627917754	2163	651852609	184
arina	chr2D	623947680	628939335	2014	651852609	184
arina	chr2D	623947680	628939335	2071	651852609	184
arina	chr2D	627823505	629735757	2171	651852609	584
arina	chr2D	628984093	629735757	2029	651852609	617
arina	chr2D	629974967	635522576	2171	651852609	584
arina	chr2D	630033729	634866953	1970	651852609	217
arina	chr2D	630033729	634866953	2072	651852609	184
arina	chr2D	634873664	635522576	2029	651852609	617
arina	chr2D	638724027	645743936	2171	651852609	584
arina	chr2D	638724027	651725555	2029	651852609	617
arina	chr3A	14820409	19521920	2516	750843639	335
arina	chr3A	14820409	19521920	2536	750843639	335
arina	chr3A	15477245	20952678	2605	750843639	1079
arina	chr3A	17451897	22618969	2714	750843639	1118
arina	chr3A	27584208	38254031	2614	750843639	752
arina	chr3A	29351629	58931762	2466	750843639	177
arina	chr3A	38034558	61344660	2607	750843639	480
arina	chr3A	38991932	48663771	2509	750843639	9
arina	chr3A	38991932	53842020	2485	750843639	9
arina	chr3A	38991932	58931762	2483	750843639	9
arina	chr3A	43010700	58931762	2495	750843639	9
arina	chr3A	49478053	58931762	2511	750843639	9
arina	chr3A	107863262	112410068	2537	750843639	94
arina	chr3A	107863262	112410068	2513	750843639	94
arina	chr3A	107863262	117789638	2496	750843639	177
arina	chr3A	107863262	313052197	2428	750843639	94
arina	chr3A	118546170	123330875	2513	750843639	94
arina	chr3A	149209877	153598851	2538	750843639	94
arina	chr3A	169226560	194067092	2476	750843639	94
arina	chr3A	179534751	181089809	2547	750843639	94
arina	chr3A	214116286	218730361	2539	750843639	94
arina	chr3A	239957053	246044676	2540	750843639	94
arina	chr3A	259838202	330058854	2441	750843639	197
arina	chr3A	265171852	269396317	2548	750843639	94
arina	chr3A	314613995	316673887	2549	750843639	8
arina	chr3A	314613995	316673887	2546	750843639	8
arina	chr3A	332219332	477990547	2433	750843639	127
arina	chr3A	358873149	361995967	2541	750843639	127
arina	chr3A	377648186	407426604	2464	750843639	127
arina	chr3A	410247583	429482424	2609	750843639	127
arina	chr3A	456409469	465542495	2621	750843639	127
arina	chr3A	462332351	471818301	2610	750843639	127
arina	chr3A	463114562	475722316	2707	750843639	127
arina	chr3A	478167841	545155757	2445	750843639	207
arina	chr3A	488108205	545155757	2439	750843639	235
arina	chr3A	508158022	545155757	2450	750843639	345
arina	chr3A	513428784	545155757	2465	750843639	147
arina	chr3A	552021858	555701657	2428	750843639	94
arina	chr3A	552021858	555701657	2496	750843639	177
arina	chr3A	556260455	574322205	2439	750843639	235
arina	chr3A	556260455	574322205	2450	750843639	345
arina	chr3A	569387697	574322205	2544	750843639	147
arina	chr3A	574011181	589199044	2619	750843639	616
arina	chr3A	574451044	579383014	2545	750843639	616
arina	chr3A	588833048	597168310	2712	750843639	910
arina	chr3A	599528205	609483628	2510	750843639	206
arina	chr3A	599528205	609483628	2512	750843639	206
arina	chr3A	604568316	609483628	2542	750843639	206
arina	chr3A	659800835	690080205	2463	750843639	358
arina	chr3A	663435887	671091173	2709	750843639	358
arina	chr3A	690193408	695132460	2543	750843639	954
arina	chr3A	703784214	708323822	2517	750843639	817
arina	chr3A	733322294	748079306	2494	750843639	648
arina	chr3B	212892	5408920	2906	830829764	938
arina	chr3B	3307037	6681225	2880	830829764	448
arina	chr3B	3307037	35838198	2878	830829764	388
arina	chr3B	6945399	8346552	2953	830829764	388
arina	chr3B	6945399	8346552	2950	830829764	388
arina	chr3B	6945399	14330814	2922	830829764	388
arina	chr3B	6945399	14548665	2906	830829764	938
arina	chr3B	15139170	40251370	2880	830829764	448
arina	chr3B	60250946	64500175	2954	830829764	1255
arina	chr3B	60250946	64500175	2945	830829764	1255
arina	chr3B	87717934	91443443	2955	830829764	1286
arina	chr3B	137850683	143605138	3026	830829764	1058
arina	chr3B	155418393	164414445	2924	830829764	874
arina	chr3B	190490436	199532263	2884	830829764	585
arina	chr3B	203555258	221136096	2884	830829764	585
arina	chr3B	219342129	220662489	2946	830829764	25
arina	chr3B	260851036	264168089	2956	830829764	1295
arina	chr3B	419797460	430525428	3017	830829764	749
arina	chr3B	425677037	435298108	2923	830829764	25
arina	chr3B	448479054	452865351	2947	830829764	25
arina	chr3B	482125100	501987750	2894	830829764	530
arina	chr3B	512390512	516001870	2957	830829764	1290
arina	chr3B	545805903	605271196	2873	830829764	224
arina	chr3B	680235721	729805277	3031	830829764	263
arina	chr3B	707121301	711884932	2951	830829764	91
arina	chr3B	707121301	711884932	2958	830829764	91
arina	chr3B	758131170	763774566	2949	830829764	341
arina	chr3B	775825323	780519965	2959	830829764	1214
arina	chr3B	785515242	799524789	3010	830829764	671
arina	chr3B	792800946	796659282	3013	830829764	341
arina	chr3B	796835290	805811863	3013	830829764	341
arina	chr3B	797012459	802295559	2952	830829764	341
arina	chr3B	797012459	811113719	2907	830829764	341
arina	chr3B	800982299	806089176	2948	830829764	341
arina	chr3B	809437845	817466623	3033	830829764	921
arina	chr3B	811139633	815883531	2944	830829764	921
arina	chr3D	24167527	28135630	3444	615552423	587
arina	chr3D	26018009	28992136	3295	615552423	587
arina	chr3D	26018009	28992136	3290	615552423	587
arina	chr3D	35694347	40730945	3298	615552423	1132
arina	chr3D	40732079	50658446	3266	615552423	788
arina	chr3D	50785530	55780557	3296	615552423	179
arina	chr3D	50785530	55780557	3288	615552423	179
arina	chr3D	94557014	358682385	3215	615552423	63
arina	chr3D	137979422	144782297	3423	615552423	63
arina	chr3D	239349590	242602754	3294	615552423	63
arina	chr3D	364232311	374069518	3267	615552423	653
arina	chr3D	364232311	378932587	3248	615552423	653
arina	chr3D	388791716	394154424	3478	615552423	1092
arina	chr3D	419386553	434211962	3249	615552423	642
arina	chr3D	454670252	492132564	3230	615552423	297
arina	chr3D	459878504	499582369	3231	615552423	322
arina	chr3D	499630371	504310081	3292	615552423	525
arina	chr3D	499630371	504310081	3289	615552423	525
arina	chr3D	574768130	579430735	3291	615552423	1217
arina	chr3D	589607809	594203010	3293	615552423	1227
arina	chr3D	594478515	599054416	3299	615552423	655
arina	chr3D	594478515	605224046	3238	615552423	747
arina	chr3D	597295790	605224046	3434	615552423	690
arina	chr3D	604122552	605224046	3265	615552423	911
arina	chr3D	605330582	611559758	3434	615552423	690
arina	chr3D	607168074	611919686	3297	615552423	747
arina	chr3D	607168074	615475387	3238	615552423	747
arina	chr3D	607168074	615475387	3265	615552423	911
arina	chr4A	51137760	52617528	3622	744588157	1
arina	chr4A	51137760	52617528	3628	744588157	1
arina	chr4A	51137760	64576058	3582	744588157	1
arina	chr4A	51137760	64576058	3583	744588157	1
arina	chr4A	51137760	64576058	3581	744588157	13
arina	chr4A	51137760	64576058	3579	744588157	13
arina	chr4A	51137760	64576058	3580	744588157	1
arina	chr4A	54106535	64576058	3578	744588157	13
arina	chr4A	54106535	64576058	3577	744588157	13
arina	chr4A	59268841	64576058	3840	744588157	1
arina	chr4A	61309492	64576058	3608	744588157	1
arina	chr4A	71994845	80857778	3577	744588157	13
arina	chr4A	71994845	80857778	3578	744588157	13
arina	chr4A	76414777	80857778	3583	744588157	1
arina	chr4A	76414777	80857778	3580	744588157	1
arina	chr4A	76414777	80857778	3581	744588157	13
arina	chr4A	76414777	80857778	3579	744588157	13
arina	chr4A	76414777	80857778	3582	744588157	1
arina	chr4A	94753311	99035561	3625	744588157	13
arina	chr4A	270322769	271804984	3617	744588157	1
arina	chr4A	270322769	271804984	3626	744588157	1
arina	chr4A	302677608	314697897	3569	744588157	13
arina	chr4A	317070673	329188700	3627	744588157	1
arina	chr4A	338742279	338749134	3619	744588157	1
arina	chr4A	338742279	338749134	3618	744588157	1
arina	chr4A	356551465	358873662	3623	744588157	1310
arina	chr4A	384392489	436829730	3689	744588157	1
arina	chr4A	389988141	436399040	3696	744588157	1
arina	chr4A	450335848	454820452	3624	744588157	1236
arina	chr4A	540957691	565762127	3568	744588157	361
arina	chr4A	540957691	575808937	3551	744588157	361
arina	chr4A	545761956	570480829	3571	744588157	23
arina	chr4A	551132424	575808937	3570	744588157	324
arina	chr4A	642186330	645423485	3620	744588157	229
arina	chr4A	673411559	679659954	3700	744588157	1000
arina	chr4A	691246693	698312296	3690	744588157	976
arina	chr4A	693596041	698312296	3701	744588157	990
arina	chr4A	698564302	700429969	3701	744588157	990
arina	chr4A	711778749	728130502	3702	744588157	288
arina	chr4A	713114838	718898025	3621	744588157	288
arina	chr4A	713114838	721827740	3607	744588157	288
arina	chr4A	715006340	721827740	3697	744588157	288
arina	chr4A	722287491	724580121	3697	744588157	288
arina	chr4A	725162676	726216998	3607	744588157	288
arina	chr4A	742019717	744525004	3629	744588157	1308
arina	chr4B	4516943	9683977	3954	673617499	548
arina	chr4B	4516943	24068249	3927	673617499	548
arina	chr4B	29673022	44188921	3935	673617499	656
arina	chr4B	195460952	230011748	3921	673617499	373
arina	chr4B	237031299	241361928	3958	673617499	1249
arina	chr4B	246314741	249095147	3956	673617499	1304
arina	chr4B	256324840	265290375	3936	673617499	876
arina	chr4B	320325182	322752601	3955	673617499	1309
arina	chr4B	333370978	335945119	3957	673617499	1307
arina	chr4B	372819258	377690975	3959	673617499	1184
arina	chr4B	409339245	418352443	4042	673617499	873
arina	chr4B	413829480	453253575	3920	673617499	330
arina	chr4B	428199297	436312387	4044	673617499	92
arina	chr4B	428409361	433336642	3952	673617499	92
arina	chr4B	428409361	437748693	4043	673617499	330
arina	chr4B	428964847	438227882	4177	673617499	330
arina	chr4B	438603082	448313425	3944	673617499	92
arina	chr4B	476184763	486208589	4175	673617499	92
arina	chr4B	479151678	518155566	3919	673617499	126
arina	chr4B	480060832	488697421	4183	673617499	92
arina	chr4B	482778235	491022782	4014	673617499	92
arina	chr4B	500343426	507245479	4015	673617499	92
arina	chr4B	502968836	518155566	3937	673617499	92
arina	chr4B	502996317	511161394	4045	673617499	92
arina	chr4B	647029967	656828454	3945	673617499	466
arina	chr4B	649582862	657188101	4016	673617499	935
arina	chr4B	670712027	671761689	3953	673617499	466
arina	chr4D	410004	5920941	4387	509857067	1074
arina	chr4D	19917553	29840742	4402	509857067	524
arina	chr4D	19927825	27385020	4409	509857067	524
arina	chr4D	25159546	29415033	4308	509857067	524
arina	chr4D	25159546	44546218	4279	509857067	553
arina	chr4D	29798552	34091236	4312	509857067	553
arina	chr4D	31334987	37933879	4386	509857067	542
arina	chr4D	32501985	37933879	4418	509857067	542
arina	chr4D	49784556	54684917	4306	509857067	483
arina	chr4D	87716640	93069903	4412	509857067	284
arina	chr4D	88126061	93343729	4394	509857067	237
arina	chr4D	88126061	93761686	4393	509857067	237
arina	chr4D	94591127	328807657	4258	509857067	44
arina	chr4D	94591127	328807657	4259	509857067	44
arina	chr4D	119745418	198583769	4263	509857067	44
arina	chr4D	214311935	328807657	4262	509857067	44
arina	chr4D	279291000	282202552	4305	509857067	36
arina	chr4D	303834756	308761771	4309	509857067	44
arina	chr4D	318285136	323355034	4395	509857067	44
arina	chr4D	366691812	372514504	4575	509857067	1053
arina	chr4D	374078940	378764427	4307	509857067	1216
arina	chr4D	417807294	426871700	4292	509857067	293
arina	chr4D	417807294	446749821	4272	509857067	293
arina	chr4D	446909047	451803311	4311	509857067	293
arina	chr4D	449725264	455764668	4390	509857067	293
arina	chr4D	449982095	455695374	4382	509857067	293
arina	chr4D	450134653	455749201	4415	509857067	293
arina	chr4D	452312403	456691795	4310	509857067	293
arina	chr4D	467116682	471962986	4313	509857067	1189
arina	chr4D	479344416	484742276	4417	509857067	1090
arina	chr5A	9323259	18920536	4642	709773743	840
arina	chr5A	14028116	18920536	4612	709773743	564
arina	chr5A	21438173	32191060	4781	709773743	392
arina	chr5A	23609077	28106811	4667	709773743	298
arina	chr5A	23609077	28106811	4661	709773743	298
arina	chr5A	28228020	32193201	4663	709773743	392
arina	chr5A	45743005	52178078	4765	709773743	1013
arina	chr5A	46228850	51428850	4782	709773743	1013
arina	chr5A	52711222	70173279	4773	709773743	588
arina	chr5A	54463530	65361281	4760	709773743	503
arina	chr5A	55341492	70000733	4783	709773743	104
arina	chr5A	57367522	74752303	4766	709773743	104
arina	chr5A	78157536	85358156	4774	709773743	968
arina	chr5A	178776435	180996500	4670	709773743	27
arina	chr5A	224686635	231308467	4664	709773743	615
arina	chr5A	242843056	250563348	4785	709773743	121
arina	chr5A	255599445	258063964	4662	709773743	27
arina	chr5A	283110772	294248689	4767	709773743	121
arina	chr5A	283110772	295322285	4784	709773743	121
arina	chr5A	296195539	304863451	4785	709773743	121
arina	chr5A	298803250	308540498	4641	709773743	121
arina	chr5A	305554947	317696195	4786	709773743	121
arina	chr5A	320212195	332303156	4787	709773743	121
arina	chr5A	321001347	334752799	4769	709773743	121
arina	chr5A	338893087	343598627	4668	709773743	27
arina	chr5A	396705722	402164936	5024	709773743	27
arina	chr5A	402539567	438357749	5024	709773743	27
arina	chr5A	432435869	437399960	4671	709773743	27
arina	chr5A	432435869	437399960	4666	709773743	27
arina	chr5A	546575974	550802529	4778	709773743	437
arina	chr5A	555638817	566393598	4640	709773743	745
arina	chr5A	597254003	601731140	4669	709773743	240
arina	chr5A	617366038	626997166	4643	709773743	329
arina	chr5A	652646583	657554787	4672	709773743	1094
arina	chr5A	657725166	662664961	4665	709773743	820
arina	chr5A	673775261	679149263	4771	709773743	1091
arina	chr5A	690443608	704208672	4789	709773743	485
arina	chr5A	692844664	702136920	4639	709773743	485
arina	chr5A	704338188	709531556	4790	709773743	1115
arina	chr5B	16235	5920013	5134	713149757	879
arina	chr5B	16235	5920013	5142	713149757	879
arina	chr5B	8875269	20012969	5389	713149757	736
arina	chr5B	12260408	29425743	5104	713149757	592
arina	chr5B	41827752	155281933	5051	713149757	145
arina	chr5B	41827752	158772435	5049	713149757	145
arina	chr5B	52004528	56981064	5143	713149757	145
arina	chr5B	77924130	87653267	5388	713149757	96
arina	chr5B	387879132	392064932	5061	713149757	46
arina	chr5B	387879132	392064932	5053	713149757	46
arina	chr5B	441637198	441643215	5089	713149757	128
arina	chr5B	522905937	524581984	5051	713149757	145
arina	chr5B	599749075	599749329	5144	713149757	444
arina	chr5B	712173620	713097306	5049	713149757	145
arina	chr5D	1533333	7020162	5556	566080677	1076
arina	chr5D	21462272	27259941	5605	566080677	1019
arina	chr5D	32150212	41934139	5536	566080677	815
arina	chr5D	52275511	58272218	5612	566080677	1039
arina	chr5D	82078242	96336945	5523	566080677	59
arina	chr5D	232597554	240850523	5833	566080677	914
arina	chr5D	233017071	240082085	5613	566080677	914
arina	chr5D	242118753	251962911	5537	566080677	804
arina	chr5D	272135118	317151911	5491	566080677	178
arina	chr5D	312359248	357076855	5495	566080677	285
arina	chr5D	337296930	352220729	5491	566080677	178
arina	chr5D	347357823	352220729	5557	566080677	178
arina	chr5D	357394857	372454919	5521	566080677	626
arina	chr5D	397619064	412147813	5522	566080677	652
arina	chr5D	422420218	432337170	5535	566080677	789
arina	chr5D	447392270	472522835	5505	566080677	446
arina	chr5D	462453643	477394094	5520	566080677	625
arina	chr5D	487834135	503196616	5512	566080677	469
arina	chr5D	487834135	503196616	5503	566080677	612
arina	chr5D	501339436	503196616	5534	566080677	1008
arina	chr5D	503663583	505216739	5512	566080677	469
arina	chr5D	503663583	510163587	5534	566080677	1008
arina	chr5D	503663583	510163587	5503	566080677	612
arina	chr5D	525378594	530170364	5555	566080677	316
arina	chr5D	525378594	549890014	5504	566080677	458
arina	chr5D	534864327	546366582	5652	566080677	458
arina	chr5D	540277804	545226761	5554	566080677	316
arina	chr5D	540277804	545226761	5558	566080677	316
arina	chr6A	19330377	24774002	6017	618079260	1087
arina	chr6A	59077440	73385380	5989	618079260	258
arina	chr6A	59077440	73385380	5988	618079260	258
arina	chr6A	63558683	73385380	6001	618079260	258
arina	chr6A	103953684	113517874	5999	618079260	814
arina	chr6A	103953684	113517874	6000	618079260	814
arina	chr6A	119091460	498594347	5931	618079260	32
arina	chr6A	459074425	493344430	5972	618079260	32
arina	chr6A	498808851	586112055	5957	618079260	174
arina	chr6A	541399566	556102366	5990	618079260	174
arina	chr6A	545318438	550750185	6086	618079260	174
arina	chr6A	556526686	575467588	5979	618079260	174
arina	chr6A	566429596	575467588	5998	618079260	174
arina	chr6B	39180575	46655503	6573	720988478	950
arina	chr6B	325028662	325044594	6350	720988478	35
arina	chr6B	325028662	325044594	6352	720988478	35
arina	chr6B	339352155	339382015	6349	720988478	150
arina	chr6B	476126147	479000945	6551	720988478	492
arina	chr6B	479077207	501105231	6551	720988478	492
arina	chr6B	548626682	555194883	6553	720988478	1005
arina	chr6B	564508393	577187787	6554	720988478	705
arina	chr6B	576812582	581082545	6351	720988478	1254
arina	chr6B	610064940	618935735	6555	720988478	881
arina	chr6B	706530361	715980917	6333	720988478	594
arina	chr6B	706530361	717540139	6325	720988478	594
arina	chr6B	712258418	716477351	6396	720988478	594
arina	chr6B	719422717	720954733	6325	720988478	594
arina	chr6D	43457	4840305	6709	473592718	1200
arina	chr6D	46902130	50957897	6681	473592718	477
arina	chr6D	55312241	60556994	6681	473592718	477
arina	chr6D	65908812	305746639	6577	473592718	77
arina	chr6D	69932329	78354571	7106	473592718	77
arina	chr6D	69932329	78354571	6791	473592718	77
arina	chr6D	81148726	305746639	6585	473592718	43
arina	chr6D	81148726	305746639	6584	473592718	43
arina	chr6D	81148726	305746639	6578	473592718	43
arina	chr6D	85624729	290820071	6593	473592718	43
arina	chr6D	85624729	305746639	6589	473592718	43
arina	chr6D	100871867	200873537	6598	473592718	43
arina	chr6D	102114863	108466190	6793	473592718	43
arina	chr6D	102114863	110332411	6822	473592718	43
arina	chr6D	111435928	125990426	6794	473592718	43
arina	chr6D	116952123	128105904	6812	473592718	43
arina	chr6D	116952123	128105904	6823	473592718	43
arina	chr6D	116952123	142139258	7108	473592718	43
arina	chr6D	129701986	143403731	6795	473592718	43
arina	chr6D	137148536	144875263	6824	473592718	43
arina	chr6D	145759235	189767167	6610	473592718	43
arina	chr6D	156803853	168224593	6796	473592718	43
arina	chr6D	158817214	172744023	6813	473592718	43
arina	chr6D	178003549	211678433	7109	473592718	43
arina	chr6D	191648226	237428668	6814	473592718	43
arina	chr6D	206549489	221867667	6665	473592718	43
arina	chr6D	217759025	305746639	6599	473592718	43
arina	chr6D	264443967	272109804	6815	473592718	43
arina	chr6D	291490072	297490046	6825	473592718	43
arina	chr6D	291794151	297170464	6797	473592718	43
arina	chr6D	299049879	306303865	6798	473592718	43
arina	chr6D	350062981	355139848	6682	473592718	43
arina	chr6D	371525018	376084933	6708	473592718	43
arina	chr6D	400717252	407209295	7025	473592718	43
arina	chr6D	400717252	407209295	6785	473592718	43
arina	chr6D	411488879	421475051	6680	473592718	295
arina	chr6D	411767071	417695253	6816	473592718	295
arina	chr6D	417689813	421475051	6707	473592718	275
arina	chr6D	417689813	421475051	6710	473592718	275
arina	chr6D	420424436	426490593	6821	473592718	1032
arina	chr6D	445817577	458769952	6787	473592718	668
arina	chr6D	458971036	461010806	6706	473592718	514
arina	chr7A	19964026	25338896	7451	736706236	438
arina	chr7A	20291452	25367592	7337	736706236	438
arina	chr7A	20291452	25367592	7371	736706236	438
arina	chr7A	42126100	46422372	7466	736706236	1054
arina	chr7A	46709504	47939236	7466	736706236	1054
arina	chr7A	66446673	69619821	7378	736706236	20
arina	chr7A	66446673	69619821	7372	736706236	20
