Chr	Start	End	Strand	Gene	TriadGrp
chr1A	11080180	11083425	-	TraesLAC1A03G00007390	17059
chr1A	11118640	11120064	-	TraesLAC1A03G00007460	16605
chr1A	11118640	11120064	-	TraesLAC1A03G00007460	16605
chr1A	11156168	11157452	+	TraesLAC1A03G00007480	17760
chr1A	11454462	11458304	-	TraesLAC1A03G00007610	3433
chr1A	11502234	11504446	+	TraesLAC1A03G00007680	11486
chr1A	11531492	11533906	-	TraesLAC1A03G00007720	11111
chr1A	11603096	11606805	-	TraesLAC1A03G00007780	16772
chr1A	11837827	11845206	-	TraesLAC1A03G00008030	14772
chr1A	13738687	13740240	-	TraesLAC1A03G00009330	1199
chr1A	13741755	13747798	-	TraesLAC1A03G00009350	15437
chr1A	13755260	13760289	+	TraesLAC1A03G00009370	691
chr1A	14067650	14070105	+	TraesLAC1A03G00009690	8627
chr1A	14539495	14543143	-	TraesLAC1A03G00010100	8247
chr1A	14539495	14543143	-	TraesLAC1A03G00010100	8247
chr1A	14588157	14596092	-	TraesLAC1A03G00010160	10692
chr1A	16680812	16684655	-	TraesLAC1A03G00011170	849
chr1A	17006675	17009227	+	TraesLAC1A03G00011310	10768
chr1A	17570813	17571722	-	TraesLAC1A03G00011710	1860
chr1A	18129535	18132822	+	TraesLAC1A03G00011920	10706
chr1A	18397365	18401569	-	TraesLAC1A03G00012010	3400
chr1A	18417405	18419601	+	TraesLAC1A03G00012030	8692
chr1A	18546568	18548469	-	TraesLAC1A03G00012070	18137
chr1A	18571969	18575395	-	TraesLAC1A03G00012080	7524
chr1A	19922450	19925345	-	TraesLAC1A03G00012480	82
chr1A	19997642	20001511	+	TraesLAC1A03G00012520	11912
chr1A	20101501	20103467	+	TraesLAC1A03G00012580	5263
chr1A	20328267	20328386	-	TraesLAC1A03G00012760	15137
chr1A	20354761	20357896	-	TraesLAC1A03G00012770	15377
chr1A	20857381	20862151	-	TraesLAC1A03G00013020	12632
chr1A	20905614	20907275	-	TraesLAC1A03G00013040	10063
chr1A	20932819	20935477	+	TraesLAC1A03G00013070	16062
chr1A	20977330	20979689	-	TraesLAC1A03G00013100	3088
chr1A	21044899	21045747	+	TraesLAC1A03G00013190	17686
chr1A	21046480	21049705	-	TraesLAC1A03G00013200	14936
chr1A	21057577	21071749	+	TraesLAC1A03G00013210	5508
chr1A	21057577	21071749	+	TraesLAC1A03G00013210	5508
chr1A	25893291	25897539	+	TraesLAC1A03G00015460	17446
chr1A	29648211	29652298	+	TraesLAC1A03G00016740	4446
chr1A	30559240	30561742	+	TraesLAC1A03G00016960	6763
chr1A	30566941	30568085	-	TraesLAC1A03G00016980	428
chr1A	31016992	31022649	+	TraesLAC1A03G00017300	16445
chr1A	31071460	31074576	-	TraesLAC1A03G00017330	4157
chr1A	31106996	31107998	+	TraesLAC1A03G00017340	1577
chr1A	31433051	31437649	+	TraesLAC1A03G00017380	13177
chr1A	31610761	31612245	+	TraesLAC1A03G00017420	15346
chr1A	31619815	31621988	+	TraesLAC1A03G00017470	17628
chr1A	31623669	31625900	+	TraesLAC1A03G00017480	17627
chr1A	31937456	31940703	+	TraesLAC1A03G00017660	8911
chr1A	32751162	32762896	-	TraesLAC1A03G00018180	6123
chr1A	33228748	33231085	-	TraesLAC1A03G00018440	13526
chr1A	33709011	33712745	+	TraesLAC1A03G00018510	5371
chr1A	33986372	33990772	+	TraesLAC1A03G00018680	15787
chr1A	34094138	34095358	+	TraesLAC1A03G00018720	2545
chr1A	34150034	34152259	+	TraesLAC1A03G00018740	16418
chr1A	34777760	34782076	+	TraesLAC1A03G00018990	8483
chr1A	34783509	34788594	+	TraesLAC1A03G00019010	317
chr1A	35261463	35265275	+	TraesLAC1A03G00019270	156
chr1A	35264400	35265996	-	TraesLAC1A03G00019280	4650
chr1A	35288753	35289685	-	TraesLAC1A03G00019300	3821
chr1A	36276644	36280499	-	TraesLAC1A03G00019570	14753
chr1A	37445618	37446805	-	TraesLAC1A03G00020240	4709
chr1A	37830134	37835759	+	TraesLAC1A03G00020390	5175
chr1A	37836228	37843087	-	TraesLAC1A03G00020400	11104
chr1A	38163709	38167563	-	TraesLAC1A03G00020510	10690
chr1A	38167723	38174476	+	TraesLAC1A03G00020520	7063
chr1A	38174909	38177332	-	TraesLAC1A03G00020540	5185
chr1A	38449866	38451204	+	TraesLAC1A03G00020610	2500
chr1A	38456515	38464490	+	TraesLAC1A03G00020620	5694
chr1A	38657836	38659955	-	TraesLAC1A03G00020770	6835
chr1A	38673791	38677149	+	TraesLAC1A03G00020830	12374
chr1A	38736206	38737054	+	TraesLAC1A03G00020920	4351
chr1A	39375904	39379500	+	TraesLAC1A03G00021000	10332
chr1A	40630084	40634971	-	TraesLAC1A03G00021380	16463
chr1A	41204486	41210311	+	TraesLAC1A03G00021480	4147
chr1A	41210368	41212145	-	TraesLAC1A03G00021490	12116
chr1A	41426661	41429409	-	TraesLAC1A03G00021570	5741
chr1A	41647858	41649907	-	TraesLAC1A03G00021730	9656
chr1A	43594514	43599545	+	TraesLAC1A03G00022180	5559
chr1A	43594514	43599545	+	TraesLAC1A03G00022180	5559
chr1A	43690932	43691774	+	TraesLAC1A03G00022250	6385
chr1A	44419141	44420365	-	TraesLAC1A03G00022580	10506
chr1A	44703668	44707762	+	TraesLAC1A03G00022700	15317
chr1A	44795890	44814158	+	TraesLAC1A03G00022810	10178
chr1A	44795890	44814158	+	TraesLAC1A03G00022810	10178
chr1A	47409996	47415839	+	TraesLAC1A03G00023480	11498
chr1A	47719254	47724166	+	TraesLAC1A03G00023610	13797
chr1A	49511145	49520993	+	TraesLAC1A03G00024190	13083
chr1A	49754176	49760665	+	TraesLAC1A03G00024260	526
chr1A	49754176	49760665	+	TraesLAC1A03G00024260	526
chr1A	49760427	49760895	-	TraesLAC1A03G00024270	10933
chr1A	49778236	49782239	-	TraesLAC1A03G00024330	13277
chr1A	50485539	50487352	-	TraesLAC1A03G00024470	806
chr1A	50613217	50613945	-	TraesLAC1A03G00024500	815
chr1A	50623423	50628816	-	TraesLAC1A03G00024520	6057
chr1A	50623423	50628816	-	TraesLAC1A03G00024520	6057
chr1A	50703626	50706070	+	TraesLAC1A03G00024560	3765
chr1A	50882916	50886885	+	TraesLAC1A03G00024650	8479
chr1A	51128783	51131654	-	TraesLAC1A03G00024860	9382
chr1A	51144487	51164068	+	TraesLAC1A03G00024900	7908
chr1A	51168166	51172784	+	TraesLAC1A03G00024910	18214
chr1A	51240542	51242528	-	TraesLAC1A03G00025000	7815
chr1A	51342067	51343755	-	TraesLAC1A03G00025030	1281
chr1A	51378967	51380355	-	TraesLAC1A03G00025090	16061
chr1A	51829175	51830413	-	TraesLAC1A03G00025200	2008
chr1A	54209879	54215581	+	TraesLAC1A03G00026090	6200
chr1A	54334359	54335518	-	TraesLAC1A03G00026140	840
chr1A	54825256	54829751	+	TraesLAC1A03G00026290	13066
chr1A	54834779	54840308	-	TraesLAC1A03G00026300	14768
chr1A	55208774	55211123	+	TraesLAC1A03G00026390	13940
chr1A	55225627	55228295	-	TraesLAC1A03G00026410	3651
chr1A	55390746	55393980	+	TraesLAC1A03G00026530	7781
chr1A	55600708	55609818	-	TraesLAC1A03G00026640	8725
chr1A	55697368	55699712	+	TraesLAC1A03G00026680	9968
chr1A	55718520	55723754	-	TraesLAC1A03G00026730	6241
chr1A	55770455	55774760	-	TraesLAC1A03G00026740	10231
chr1A	56043437	56049685	+	TraesLAC1A03G00026820	6627
chr1A	58301605	58302858	+	TraesLAC1A03G00027200	837
chr1A	58304848	58312032	-	TraesLAC1A03G00027220	8446
chr1A	58882948	58885641	+	TraesLAC1A03G00027420	13727
chr1A	58887969	58891069	-	TraesLAC1A03G00027440	17070
chr1A	58979966	58985317	-	TraesLAC1A03G00027460	5521
chr1A	59306862	59308512	+	TraesLAC1A03G00027570	10969
chr1A	59354079	59355552	-	TraesLAC1A03G00027620	7836
chr1A	59431827	59433065	-	TraesLAC1A03G00027650	17696
chr1A	59437197	59443366	+	TraesLAC1A03G00027670	752
chr1A	59794524	59798167	+	TraesLAC1A03G00027870	8341
chr1A	59840156	59842429	+	TraesLAC1A03G00027900	1232
chr1A	59842738	59849868	-	TraesLAC1A03G00027920	8178
chr1A	59871059	59875657	-	TraesLAC1A03G00027980	5545
chr1A	60366295	60381542	+	TraesLAC1A03G00028300	14856
chr1A	60412945	60418310	-	TraesLAC1A03G00028360	9594
chr1A	60523786	60524580	+	TraesLAC1A03G00028400	5659
chr1A	60608487	60609907	+	TraesLAC1A03G00028470	17904
chr1A	61271536	61274422	+	TraesLAC1A03G00028810	4143
chr1A	61513966	61517705	-	TraesLAC1A03G00028890	15418
chr1A	62180334	62183863	+	TraesLAC1A03G00029260	1410
chr1A	62377343	62381632	+	TraesLAC1A03G00029340	14072
chr1A	62596692	62598303	-	TraesLAC1A03G00029450	4825
chr1A	62650206	62651750	+	TraesLAC1A03G00029460	18066
chr1A	63020026	63031705	-	TraesLAC1A03G00029780	5771
chr1A	63215107	63216647	+	TraesLAC1A03G00029810	16672
chr1A	63650876	63651949	+	TraesLAC1A03G00029880	2982
chr1A	63656822	63659771	-	TraesLAC1A03G00029890	18056
chr1A	63885475	63886885	-	TraesLAC1A03G00029960	18075
chr1A	64206333	64210408	+	TraesLAC1A03G00030030	3790
chr1A	64240305	64244679	+	TraesLAC1A03G00030060	17057
chr1A	64244664	64249075	-	TraesLAC1A03G00030070	4235
chr1A	64630619	64631894	-	TraesLAC1A03G00030160	18202
chr1A	64671886	64673558	+	TraesLAC1A03G00030180	6868
chr1A	64676088	64680483	-	TraesLAC1A03G00030190	6875
chr1A	64711654	64713245	-	TraesLAC1A03G00030230	18183
chr1A	64951345	64955439	-	TraesLAC1A03G00030320	17411
chr1A	66003276	66013174	+	TraesLAC1A03G00030540	8123
chr1A	66191022	66197741	+	TraesLAC1A03G00030640	16502
chr1A	66289844	66291582	+	TraesLAC1A03G00030690	1594
chr1A	66310667	66313185	-	TraesLAC1A03G00030710	2418
chr1A	66310667	66313185	-	TraesLAC1A03G00030710	2418
chr1A	66801913	66806120	+	TraesLAC1A03G00030980	14501
chr1A	66928988	66930559	-	TraesLAC1A03G00031040	11673
chr1A	67151729	67152505	-	TraesLAC1A03G00031080	6464
chr1A	67323981	67329146	-	TraesLAC1A03G00031130	3774
chr1A	67331624	67333525	-	TraesLAC1A03G00031140	3740
chr1A	67702810	67705747	+	TraesLAC1A03G00031330	1414
chr1A	68422295	68424828	+	TraesLAC1A03G00031460	17912
chr1A	68989438	68991667	+	TraesLAC1A03G00031580	1205
chr1A	69210592	69220406	-	TraesLAC1A03G00031630	12845
chr1A	70679037	70680645	-	TraesLAC1A03G00032030	10687
chr1A	70681066	70685630	-	TraesLAC1A03G00032040	4102
chr1A	70880928	70885298	-	TraesLAC1A03G00032060	4360
chr1A	72167693	72179925	+	TraesLAC1A03G00032220	11044
chr1A	72380532	72381175	-	TraesLAC1A03G00032290	1483
chr1A	72533875	72534467	-	TraesLAC1A03G00032330	1644
chr1A	72560602	72569368	-	TraesLAC1A03G00032380	14415
chr1A	73028003	73031315	-	TraesLAC1A03G00032540	4649
chr1A	73159022	73163732	+	TraesLAC1A03G00032550	12934
chr1A	73246256	73247588	+	TraesLAC1A03G00032630	3610
chr1A	74231811	74234959	-	TraesLAC1A03G00032930	16755
chr1A	74236053	74240070	-	TraesLAC1A03G00032940	2677
chr1A	74533196	74536142	-	TraesLAC1A03G00032960	16269
chr1A	74733801	74739380	+	TraesLAC1A03G00033030	16182
chr1A	74740946	74745421	+	TraesLAC1A03G00033040	2188
chr1A	74751683	74761070	-	TraesLAC1A03G00033060	13082
chr1A	74761333	74768874	+	TraesLAC1A03G00033070	6762
chr1A	74769625	74770815	-	TraesLAC1A03G00033090	5936
chr1A	74794110	74798535	-	TraesLAC1A03G00033150	12868
chr1A	75869579	75882596	-	TraesLAC1A03G00033400	9840
chr1A	77144172	77167510	-	TraesLAC1A03G00033770	6681
chr1A	77448018	77457104	+	TraesLAC1A03G00033890	12338
chr1A	77448018	77457104	+	TraesLAC1A03G00033890	12338
chr1A	77920629	77926897	-	TraesLAC1A03G00033990	6134
chr1A	78151950	78153600	+	TraesLAC1A03G00034070	15195
chr1A	78525256	78529532	+	TraesLAC1A03G00034180	3355
chr1A	79729877	79738003	+	TraesLAC1A03G00034460	3527
chr1A	80361535	80362795	-	TraesLAC1A03G00034610	8472
chr1A	80562580	80565172	+	TraesLAC1A03G00034690	14591
chr1A	81082330	81089973	-	TraesLAC1A03G00034740	11941
chr1A	81672770	81685064	+	TraesLAC1A03G00034860	3772
chr1A	82049250	82052767	-	TraesLAC1A03G00034980	7583
chr1A	83871242	83881761	+	TraesLAC1A03G00035350	9789
chr1A	83884514	83889257	-	TraesLAC1A03G00035360	9440
chr1A	84298737	84304081	-	TraesLAC1A03G00035490	14123
chr1A	84298737	84304081	-	TraesLAC1A03G00035490	14123
chr1A	85349848	85361894	+	TraesLAC1A03G00035620	10114
chr1A	85369531	85371479	+	TraesLAC1A03G00035630	3653
chr1A	86073566	86075617	+	TraesLAC1A03G00035830	18343
chr1A	86139625	86140715	-	TraesLAC1A03G00035850	16566
chr1A	86373342	86375816	+	TraesLAC1A03G00035930	12466
chr1A	86682296	86683585	+	TraesLAC1A03G00036030	12362
chr1A	87164685	87165579	+	TraesLAC1A03G00036130	1527
chr1A	87573384	87578400	+	TraesLAC1A03G00036330	312
chr1A	87980084	87985202	-	TraesLAC1A03G00036510	3038
chr1A	88529703	88532648	+	TraesLAC1A03G00036590	8028
chr1A	89669147	89676132	+	TraesLAC1A03G00036750	8147
chr1A	90716225	90723305	+	TraesLAC1A03G00036890	14234
chr1A	90716225	90723305	+	TraesLAC1A03G00036890	14234
chr1A	91469992	91471828	+	TraesLAC1A03G00037040	1160
chr1A	92069984	92078689	-	TraesLAC1A03G00037150	10568
chr1A	92355247	92362120	+	TraesLAC1A03G00037260	3959
chr1A	92461751	92466077	+	TraesLAC1A03G00037310	14584
chr1A	92477888	92479721	+	TraesLAC1A03G00037340	13742
chr1A	92712478	92715653	-	TraesLAC1A03G00037380	9255
chr1A	92717986	92719071	+	TraesLAC1A03G00037390	15812
chr1A	92803287	92805813	-	TraesLAC1A03G00037430	4591
chr1A	92889826	92896040	-	TraesLAC1A03G00037490	13391
chr1A	92969857	92970598	+	TraesLAC1A03G00037540	306
chr1A	93827728	93832717	-	TraesLAC1A03G00037690	13462
chr1A	94618922	94619795	+	TraesLAC1A03G00037790	8207
chr1A	94643918	94648835	-	TraesLAC1A03G00037800	13027
chr1A	94648952	94652586	+	TraesLAC1A03G00037810	5732
chr1A	94653269	94654584	-	TraesLAC1A03G00037820	16779
chr1A	95335889	95341081	+	TraesLAC1A03G00037930	1856
chr1A	95344450	95348693	+	TraesLAC1A03G00037940	5428
chr1A	95344450	95348693	+	TraesLAC1A03G00037940	5428
chr1A	96283537	96288586	+	TraesLAC1A03G00038530	3503
chr1A	96404096	96406578	+	TraesLAC1A03G00038610	9022
chr1A	97034105	97039533	+	TraesLAC1A03G00038790	5949
chr1A	97581313	97584851	-	TraesLAC1A03G00038990	3531
chr1A	97586520	97588315	-	TraesLAC1A03G00039000	1698
chr1A	97660537	97662985	+	TraesLAC1A03G00039040	8776
chr1A	97672143	97674173	+	TraesLAC1A03G00039060	14853
chr1A	97675854	97677745	+	TraesLAC1A03G00039070	8777
chr1A	97697641	97699981	-	TraesLAC1A03G00039120	4230
chr1A	97702809	97711494	-	TraesLAC1A03G00039130	12502
chr1A	99006709	99008090	+	TraesLAC1A03G00039480	18167
chr1A	99439703	99448816	-	TraesLAC1A03G00039710	11380
chr1A	99453698	99459455	-	TraesLAC1A03G00039720	13022
chr1A	100208826	100217107	+	TraesLAC1A03G00039990	10676
chr1A	100218494	100222542	+	TraesLAC1A03G00040000	12349
chr1A	100222856	100223842	+	TraesLAC1A03G00040010	16666
chr1A	100274983	100275938	+	TraesLAC1A03G00040030	16664
chr1A	100342095	100343235	+	TraesLAC1A03G00040050	16660
chr1A	100351733	100353084	+	TraesLAC1A03G00040070	16663
chr1A	100494882	100496438	-	TraesLAC1A03G00040140	15647
chr1A	100834548	100836308	+	TraesLAC1A03G00040350	18073
chr1A	100871581	100873393	+	TraesLAC1A03G00040360	18068
chr1A	100932408	100935792	-	TraesLAC1A03G00040400	18072
chr1A	101129106	101130625	-	TraesLAC1A03G00040530	5968
chr1A	101131860	101136763	-	TraesLAC1A03G00040540	2665
chr1A	101211488	101231348	+	TraesLAC1A03G00040600	10605
chr1A	101255903	101257005	-	TraesLAC1A03G00040650	405
chr1A	102150165	102153498	+	TraesLAC1A03G00040870	6140
chr1A	102206731	102211302	-	TraesLAC1A03G00040920	6128
chr1A	102607944	102611743	-	TraesLAC1A03G00041070	8480
chr1A	103005682	103011196	+	TraesLAC1A03G00041120	1555
chr1A	103199802	103205458	+	TraesLAC1A03G00041150	14752
chr1A	103207024	103211074	+	TraesLAC1A03G00041160	14751
chr1A	104145766	104159885	-	TraesLAC1A03G00041300	8315
chr1A	104463059	104467859	-	TraesLAC1A03G00041340	8654
chr1A	105038392	105050256	+	TraesLAC1A03G00041400	10772
chr1A	105052647	105053155	-	TraesLAC1A03G00041410	3632
chr1A	105055886	105060551	+	TraesLAC1A03G00041420	3759
chr1A	105206710	105208759	+	TraesLAC1A03G00041470	12584
chr1A	105266559	105270331	-	TraesLAC1A03G00041530	6052
chr1A	105405676	105412639	-	TraesLAC1A03G00041590	7957
chr1A	105741299	105751295	-	TraesLAC1A03G00041650	10058
chr1A	105752566	105757684	+	TraesLAC1A03G00041660	12826
chr1A	105758364	105770940	-	TraesLAC1A03G00041670	10913
chr1A	106706540	106707735	-	TraesLAC1A03G00041800	1145
chr1A	107036328	107037405	-	TraesLAC1A03G00041870	14424
chr1A	107038256	107049973	-	TraesLAC1A03G00041880	9218
chr1A	107900431	107903145	+	TraesLAC1A03G00042010	6229
chr1A	107907722	107913577	+	TraesLAC1A03G00042020	4565
chr1A	107913989	107917589	-	TraesLAC1A03G00042030	17158
chr1A	108867742	108871937	+	TraesLAC1A03G00042330	2396
chr1A	108873896	108880795	-	TraesLAC1A03G00042340	9032
chr1A	109490763	109495207	+	TraesLAC1A03G00042600	9907
chr1A	109496515	109501243	-	TraesLAC1A03G00042610	3818
chr1A	109562952	109568931	-	TraesLAC1A03G00042640	2956
chr1A	109571766	109576556	+	TraesLAC1A03G00042650	7684
chr1A	109576247	109577889	-	TraesLAC1A03G00042660	12470
chr1A	109600116	109602163	+	TraesLAC1A03G00042700	14254
chr1A	109723693	109725817	+	TraesLAC1A03G00042750	12889
chr1A	110769545	110773807	-	TraesLAC1A03G00042940	8007
chr1A	110875926	110877105	+	TraesLAC1A03G00042970	10816
chr1A	110962438	110962945	-	TraesLAC1A03G00043020	8927
chr1A	111921754	111931789	+	TraesLAC1A03G00043170	10108
chr1A	111949308	111952288	-	TraesLAC1A03G00043190	16231
chr1A	113714807	113715592	+	TraesLAC1A03G00043700	11920
chr1A	113722084	113729065	+	TraesLAC1A03G00043720	8413
chr1A	113729630	113731406	-	TraesLAC1A03G00043730	18005
chr1A	114038930	114040028	-	TraesLAC1A03G00043770	7761
chr1A	114337807	114341187	-	TraesLAC1A03G00043860	3808
chr1A	114647313	114654564	+	TraesLAC1A03G00043920	4648
chr1A	114654870	114657755	-	TraesLAC1A03G00043930	13621
chr1A	114675166	114679105	-	TraesLAC1A03G00043970	9894
chr1A	114675166	114679105	-	TraesLAC1A03G00043970	9894
chr1A	115348872	115353301	+	TraesLAC1A03G00044070	11187
chr1A	116728157	116728726	+	TraesLAC1A03G00044440	10930
chr1A	116764004	116767060	+	TraesLAC1A03G00044480	12980
chr1A	117478316	117481806	+	TraesLAC1A03G00044580	12659
chr1A	117974479	117978440	-	TraesLAC1A03G00044720	2401
chr1A	118660235	118662265	-	TraesLAC1A03G00044880	15840
chr1A	118678112	118683711	-	TraesLAC1A03G00044910	10417
chr1A	118750113	118752336	-	TraesLAC1A03G00044930	155
chr1A	119610664	119613967	+	TraesLAC1A03G00045320	5467
chr1A	119640191	119640745	-	TraesLAC1A03G00045330	3631
chr1A	119804865	119815176	-	TraesLAC1A03G00045380	16069
chr1A	119909961	119913275	-	TraesLAC1A03G00045410	1732
chr1A	120252837	120256249	+	TraesLAC1A03G00045450	8748
chr1A	120461596	120465913	+	TraesLAC1A03G00045530	13206
chr1A	120497011	120497869	+	TraesLAC1A03G00045590	5557
chr1A	120758799	120767559	+	TraesLAC1A03G00045730	12404
chr1A	120767511	120769188	-	TraesLAC1A03G00045750	13678
chr1A	122318037	122319333	+	TraesLAC1A03G00046000	12972
chr1A	124294094	124297629	-	TraesLAC1A03G00046280	4952
chr1A	124754473	124755488	+	TraesLAC1A03G00046390	10076
chr1A	124923884	124924715	-	TraesLAC1A03G00046430	11618
chr1A	124932599	124933515	-	TraesLAC1A03G00046450	11619
chr1A	124933018	124933376	+	TraesLAC1A03G00046460	33
chr1A	124933018	124933376	+	TraesLAC1A03G00046460	33
chr1A	125518400	125519265	-	TraesLAC1A03G00046590	11617
chr1A	125617478	125623411	-	TraesLAC1A03G00046620	13467
chr1A	125624113	125629521	-	TraesLAC1A03G00046630	5413
chr1A	125877471	125878895	-	TraesLAC1A03G00046690	15674
chr1A	125881366	125882927	+	TraesLAC1A03G00046700	13139
chr1A	127235023	127239157	+	TraesLAC1A03G00046920	9011
chr1A	127576203	127578520	-	TraesLAC1A03G00047000	15471
chr1A	127793226	127795682	-	TraesLAC1A03G00047020	17614
chr1A	127793226	127795682	-	TraesLAC1A03G00047020	17614
chr1A	128069538	128073376	+	TraesLAC1A03G00047160	10136
chr1A	128469533	128473592	+	TraesLAC1A03G00047310	12148
chr1A	128544398	128546615	+	TraesLAC1A03G00047350	13234
chr1A	130655218	130656837	+	TraesLAC1A03G00047780	14564
chr1A	130655218	130656837	+	TraesLAC1A03G00047780	14564
chr1A	130854246	130855307	+	TraesLAC1A03G00047810	1902
chr1A	131408576	131412495	-	TraesLAC1A03G00047890	8140
chr1A	132014626	132017685	-	TraesLAC1A03G00048000	15604
chr1A	132456344	132463889	-	TraesLAC1A03G00048090	8143
chr1A	132624487	132626931	-	TraesLAC1A03G00048120	1034
chr1A	132754850	132765608	+	TraesLAC1A03G00048180	15193
chr1A	133262125	133269133	+	TraesLAC1A03G00048250	10627
chr1A	133273726	133275410	+	TraesLAC1A03G00048260	8846
chr1A	133275867	133278715	-	TraesLAC1A03G00048270	11686
chr1A	133600043	133600838	+	TraesLAC1A03G00048360	3955
chr1A	133637164	133639922	-	TraesLAC1A03G00048450	4470
chr1A	135389635	135395544	+	TraesLAC1A03G00048860	9099
chr1A	135956096	135970964	-	TraesLAC1A03G00049000	14318
chr1A	136413275	136416205	-	TraesLAC1A03G00049120	5282
chr1A	137377056	137413613	+	TraesLAC1A03G00049240	12603
chr1A	141366325	141369282	+	TraesLAC1A03G00050150	9178
chr1A	141836600	141841391	-	TraesLAC1A03G00050220	5233
chr1A	143276261	143277815	-	TraesLAC1A03G00050340	2628
chr1A	144182295	144190544	+	TraesLAC1A03G00050550	6644
chr1A	144918766	144919200	+	TraesLAC1A03G00050670	4161
chr1A	146357296	146358273	+	TraesLAC1A03G00050890	8029
chr1A	146982525	146987125	-	TraesLAC1A03G00050980	13102
chr1A	147297114	147302248	-	TraesLAC1A03G00051050	13189
chr1A	147308067	147309349	-	TraesLAC1A03G00051070	12804
chr1A	148013313	148021641	+	TraesLAC1A03G00051180	17042
chr1A	149069526	149071026	+	TraesLAC1A03G00051360	1141
chr1A	149276959	149282786	+	TraesLAC1A03G00051420	10299
chr1A	149670708	149674386	-	TraesLAC1A03G00051490	2364
chr1A	150320854	150322073	+	TraesLAC1A03G00051620	10256
chr1A	150759192	150766568	-	TraesLAC1A03G00051730	10223
chr1A	151167096	151167952	+	TraesLAC1A03G00051780	12512
chr1A	151197152	151201677	+	TraesLAC1A03G00051810	6677
chr1A	151205811	151208479	-	TraesLAC1A03G00051820	7227
chr1A	151653911	151655014	+	TraesLAC1A03G00051920	1491
chr1A	151653911	151655014	+	TraesLAC1A03G00051920	1491
chr1A	151653911	151655014	+	TraesLAC1A03G00051920	1491
chr1A	152064344	152070238	+	TraesLAC1A03G00051970	4529
chr1A	152165941	152170060	-	TraesLAC1A03G00052010	9339
chr1A	153619957	153622039	+	TraesLAC1A03G00052230	15489
chr1A	153861806	153867568	+	TraesLAC1A03G00052280	15480
chr1A	154853933	154856945	+	TraesLAC1A03G00052530	2870
chr1A	154977926	154980850	+	TraesLAC1A03G00052560	15618
chr1A	156110587	156132043	-	TraesLAC1A03G00052800	9130
chr1A	157578661	157583557	-	TraesLAC1A03G00052940	9851
chr1A	157578661	157583557	-	TraesLAC1A03G00052940	9851
chr1A	158093949	158099729	-	TraesLAC1A03G00053100	8311
chr1A	159741531	159752800	+	TraesLAC1A03G00053350	7980
chr1A	163594828	163596750	-	TraesLAC1A03G00053800	10738
chr1A	163605420	163609976	-	TraesLAC1A03G00053840	3878
chr1A	166510366	166517107	+	TraesLAC1A03G00054280	10505
chr1A	168715457	168751114	-	TraesLAC1A03G00054730	5714
chr1A	169788997	169799400	+	TraesLAC1A03G00054900	9608
chr1A	186854856	186862569	-	TraesLAC1A03G00057550	4317
chr1A	189806387	189813431	+	TraesLAC1A03G00058040	5572
chr1A	211730446	211731880	+	TraesLAC1A03G00062470	3230
